Rank,Book Title,Author,Rating,Reviews,Price,url,description,publisher,publication_date
#36,From Blood and Ash,Jennifer L. Armentrout,4.6,80385.0,8.99,https://www.amazon.com/Blood-Ash-Jennifer-L-Armentrout-ebook/dp/B086JMSSVH/ref=zg_bs_g_6190484011_d_sccl_36/142-3510744-9003908?psc=1,N/A,N/A,N/A
#37,A Shadow in the Ember,Jennifer L. Armentrout,4.7,37828.0,8.99,https://www.amazon.com/Shadow-Ember-Flesh-Fire-Book-ebook/dp/B08Z2ZJSR3/ref=zg_bs_g_6190484011_d_sccl_37/142-3510744-9003908?psc=1,N/A,N/A,N/A
#38,Reborn (Shadow Beast Shifters 3),Jaymin Eve,4.6,20287.0,5.99,https://www.amazon.com/Reborn-Shadow-Beast-Shifters-Book-ebook/dp/B08RWMTPCR/ref=zg_bs_g_6190484011_d_sccl_38/142-3510744-9003908?psc=1,N/A,N/A,N/A
#39,Promised in Blood,Sadie Kincaid,4.4,19417.0,5.99,https://www.amazon.com/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0CQ8SR1DW/ref=zg_bs_g_6190484011_d_sccl_39/142-3510744-9003908?psc=1,N/A,N/A,N/A
#40,Don't Feed the Vampire,Grae Bryan,4.5,864.0,5.99,https://www.amazon.com/Dont-Feed-Vampire-Coastal-Creatures-ebook/dp/B0DQ45KFKR/ref=zg_bs_g_6190484011_d_sccl_40/142-3510744-9003908?psc=1,N/A,N/A,N/A
#41,The Wolf Queen,Lauren Palphreyman,,,5.99,https://www.amazon.com/Wolf-Queen-Fantasy-Romance-ebook/dp/B0GGBVWGB1/ref=zg_bs_g_6190484011_d_sccl_41/142-3510744-9003908?psc=1,N/A,N/A,N/A
#42,Knot in Doubt,Ember L. Nicole,4.2,879.0,4.99,https://www.amazon.com/Promises-Omegaverse-Ember-L-Nicole-ebook/dp/B0FG87MSM2/ref=zg_bs_g_6190484011_d_sccl_42/142-3510744-9003908?psc=1,N/A,N/A,N/A
#43,The Venom in our Vows,Talia Shepstone,4.3,1240.0,5.99,https://www.amazon.com/Venom-our-Vows-Reverse-Fantasy-ebook/dp/B0FV7W4WLD/ref=zg_bs_g_6190484011_d_sccl_43/142-3510744-9003908?psc=1,N/A,N/A,N/A
#44,Primal: A Rejected Mate Romance,Kayleigh King,4.3,2925.0,4.99,https://www.amazon.com/Primal-Rejected-Omegaverse-Romance-Drive-ebook/dp/B0DSZ57DKN/ref=zg_bs_g_6190484011_d_sccl_44/142-3510744-9003908?psc=1,N/A,N/A,N/A
#45,Witch Fire,Lyra Mishon,4.4,1856.0,4.99,https://www.amazon.com/Witch-Fire-paranormal-academy-Starfall-ebook/dp/B0FX4G5Z99/ref=zg_bs_g_6190484011_d_sccl_45/142-3510744-9003908?psc=1,N/A,N/A,N/A
#46,Clash of Claws,Elizabeth Dear,4.7,4669.0,5.99,https://www.amazon.com/Clash-Claws-Shifter-Guardians-Academy-ebook/dp/B0FNRMCTRC/ref=zg_bs_g_6190484011_d_sccl_46/142-3510744-9003908?psc=1,N/A,N/A,N/A
#47,Crescent Kingdom,Tessa Hale,4.4,13044.0,4.99,https://www.amazon.com/Crescent-Kingdom-Wolves-Creek-Book-ebook/dp/B0D852YJZ5/ref=zg_bs_g_6190484011_d_sccl_47/142-3510744-9003908?psc=1,N/A,N/A,N/A
#48,Night Owl Bridge,Seana Kelly,4.7,239.0,0.99,https://www.amazon.com/Night-Bridge-Story-World-Wicche-ebook/dp/B0GQJ3JLX9/ref=zg_bs_g_6190484011_d_sccl_48/142-3510744-9003908?psc=1,N/A,N/A,N/A
#49,A Kingdom of Flesh and Fire,Jennifer L. Armentrout,4.6,69616.0,8.99,https://www.amazon.com/Kingdom-Flesh-Fire-Blood-Book-ebook/dp/B08BZ61HDF/ref=zg_bs_g_6190484011_d_sccl_49/142-3510744-9003908?psc=1,N/A,N/A,N/A
#50,Bound in Blood,Sadie Kincaid,4.4,17024.0,5.99,https://www.amazon.com/Bound-Blood-Broken-Bloodlines-Book-ebook/dp/B0DDY763WZ/ref=zg_bs_g_6190484011_d_sccl_50/142-3510744-9003908?psc=1,N/A,N/A,N/A
#51,Eldrith Manor,Leigh Rivers,4.2,2044.0,4.99,https://www.amazon.com/Eldrith-Manor-Leigh-Rivers-ebook/dp/B0FDF3H3CD/ref=zg_bs_g_6190484011_d_sccl_1/145-2966230-4286357,N/A,N/A,N/A
#52,The Crown of Gilded Bones,Jennifer L. Armentrout,4.6,70232.0,8.99,https://www.amazon.com/Crown-Gilded-Bones-Blood-Book-ebook/dp/B08NS24X2T/ref=zg_bs_g_6190484011_d_sccl_2/145-2966230-4286357,N/A,N/A,N/A
#53,How To Tell If Your K-9 Is A Demon,Trista Ricketts,4.5,379.0,5.99,https://www.amazon.com/How-Tell-Your-K-9-Demon-ebook/dp/B0GCPQH68P/ref=zg_bs_g_6190484011_d_sccl_3/145-2966230-4286357,N/A,N/A,N/A
#54,Mate,Ali Hazelwood,4.4,29773.0,10.99,https://www.amazon.com/Mate-Ali-Hazelwood-ebook/dp/B0DY3SL9FW/ref=zg_bs_g_6190484011_d_sccl_4/145-2966230-4286357,N/A,N/A,N/A
#55,Eclipsed Heart,Jen L. Grey,4.4,7569.0,5.99,https://www.amazon.com/Eclipsed-Heart-Twisted-Fate-Trilogy-ebook/dp/B0CGK3B64M/ref=zg_bs_g_6190484011_d_sccl_5/145-2966230-4286357,N/A,N/A,N/A
#56,Her Irish Dragons,Theodora Taylor,3.6,19.0,5.99,https://www.amazon.com/Her-Irish-Dragons-Shifters-Book-ebook/dp/B0FBSF6G1G/ref=zg_bs_g_6190484011_d_sccl_6/145-2966230-4286357,"""I'm dying for Her Irish Dragons after that Irish Bears cliffhanger!"" ""I will never forgive this author for the cliffhanger at the end of Her Irish Bears."" ""One star! I loved Irish Bears—but that cliffhanger!"" —Author interpretation of several reviews The highly anticipated FINAL book in the Irish Shifters trilogy is finally HERE! Go to Ireland, they said. It can only be you, they said. It'll be fun. Okay, okay, the king and queen of the Scottish Wolves didn't say that fun part. But I’m still trying to figure out why they’re sending me, a broke, recently unemployed, stuck-back-in-her-childhood-bedroom-opposite-of-a-diplomat she-wolf, to broker peace between them and the Irish Wolves. The Irish Bears hosting the summit specifically requested me, and they refuse to explain why they insisted it couldn't be anyone else. Then I get shoved into a lake. A lake that turns out to be a fating portal. A portal that shoots me thousands of years into the past. So, y’know, now I really have to ask… Was I invited to Ireland? Or summoned there by three emerald-colored beasts who will do anything—and I cannot stress the italics on this hard enough, any-truly-epic-thing —to claim me as theirs. Forever. 🔥 Three dragon gods. One innocent named Dorie. A prophecy that will change everything. 🔥 Read more",N/A,N/A
#57,The Ice Tyrant's Fated Mate,Riley Storm,4.5,194.0,3.99,https://www.amazon.com/Tyrants-Fated-Hollow-Earth-Dragons-ebook/dp/B0GKYZRQC5/ref=zg_bs_g_6190484011_d_sccl_7/145-2966230-4286357,N/A,N/A,N/A
#58,The War of Two Queens,Jennifer L. Armentrout,4.4,58280.0,8.99,https://www.amazon.com/War-Two-Queens-Blood-Book-ebook/dp/B0992Y537S/ref=zg_bs_g_6190484011_d_sccl_8/145-2966230-4286357,N/A,N/A,N/A
