Rank,Book Title,Author,Rating,Reviews,Price,url
#16,Zodiac Academy 7: Heartless Sky,Caroline Peckham,4.4,64358,8.99,https://www.amazon.com/Zodiac-Academy-7-Caroline-Peckham-ebook/dp/B08R14G8QV/ref=zg_bs_g_6190484011_d_sccl_16/142-5481648-3710261
#17,Kiss of the Basilisk,Lindsay Straube,4.1,27738,8.25,https://www.amazon.com/Kiss-Basilisk-Split-Swallow-Novel-ebook/dp/B0DMX89R8T/ref=zg_bs_g_6190484011_d_sccl_17/142-5481648-3710261
#18,Immortal by Morning,Lynsay Sands,4.5,1899,1.99,https://www.amazon.com/Immortal-Morning-Halloween-Paranormal-Vampires-ebook/dp/B0DL9V9M5S/ref=zg_bs_g_6190484011_d_sccl_18/142-5481648-3710261
#19,The Lies that Summon the Night,Tessonja Odette,4.6,279,1.99,https://www.amazon.com/Lies-that-Summon-Night-Novel-ebook/dp/B0FJX47F4X/ref=zg_bs_g_6190484011_d_sccl_19/142-5481648-3710261
#20,Eyes of Devious Burgundy,Lacey Lehotzky,4.3,3293,8.99,https://www.amazon.com/Eyes-Devious-Burgundy-Deathcaller-Prophecy-ebook/dp/B0DJSCN35B/ref=zg_bs_g_6190484011_d_sccl_20/142-5481648-3710261
#21,Undeniably His Mate,Roxie Ray,4.4,891,9.95,https://www.amazon.com/Undeniably-His-Mate-Roxie-Ray-ebook/dp/B0GFVSDGNJ/ref=zg_bs_g_6190484011_d_sccl_21/142-5481648-3710261
#22,Stalked by Seduction and Shadows,Maggie Sunseri,4.2,9053,4.99,https://www.amazon.com/Stalked-Seduction-Shadows-Eternal-Obsession-ebook/dp/B0CQRD3V1Y/ref=zg_bs_g_6190484011_d_sccl_22/142-5481648-3710261
#23,The Tyrant Alpha's Fated Chase,Jennifer Eve,4.3,557,2.99,https://www.amazon.com/Tyrant-Alphas-Fated-Chase-Forbidden-ebook/dp/B0G4D3BWPC/ref=zg_bs_g_6190484011_d_sccl_23/142-5481648-3710261
#24,The Silversmith,LJ Claren,4.3,9991,4.99,https://www.amazon.com/Silversmith-totally-addictive-fantasy-Selvaren-ebook/dp/B0FV6P4B9M/ref=zg_bs_g_6190484011_d_sccl_24/142-5481648-3710261
#25,Destined Mate,Jen L. Grey,4.5,10884,4.99,https://www.amazon.com/Destined-Mate-Twisted-Fate-Trilogy-ebook/dp/B0CBQWL5XY/ref=zg_bs_g_6190484011_d_sccl_25/142-5481648-3710261
#26,Riftborn,Shannon Mayer,4.8,317,4.99,https://www.amazon.com/Riftborn-Apocalyptic-Fantasy-Sorrows-Blades-ebook/dp/B0GQJJ2533/ref=zg_bs_g_6190484011_d_sccl_26/142-5481648-3710261
#27,The Alpha King's Queen,Eloise Benjamin,4.5,3662,2.99,https://www.amazon.com/Alpha-Kings-Queen-Eloise-Benjamin-ebook/dp/B0DKXV4W7G/ref=zg_bs_g_6190484011_d_sccl_27/142-5481648-3710261
#28,Swipe Right on Fate,Roxie Ray,4.2,2720,4.95,https://www.amazon.com/Swipe-Right-Fate-Roxie-Ray-ebook/dp/B0GJ79LTJ6/ref=zg_bs_g_6190484011_d_sccl_28/142-5481648-3710261
#29,Zodiac Academy 9: Restless Stars,Caroline Peckham,4.5,37785,8.99,https://www.amazon.com/Zodiac-Academy-9-Caroline-Peckham-ebook/dp/B0CHS9CQT8/ref=zg_bs_g_6190484011_d_sccl_29/142-5481648-3710261
#30,Beast Business,Ilona Andrews,4.8,2847,5.99,https://www.amazon.com/Beast-Business-Ilona-Andrews-ebook/dp/B0GKJ2ZQFD/ref=zg_bs_g_6190484011_d_sccl_30/142-5481648-3710261
#31,Chased by My Grumpy Alpha,Jaymin Snow,4.5,1094,4.99,https://www.amazon.com/Chased-Grumpy-Alpha-Forbidden-Paranormal-ebook/dp/B0FYJHK4VC/ref=zg_bs_g_6190484011_d_sccl_31/142-3510744-9003908?psc=1
#32,Fated to the Wolf Prince,April L. Moon,4.4,25147,5.99,https://www.amazon.com/Fated-Wolf-Prince-Shifter-Paranormal-ebook/dp/B0CB95LXNN/ref=zg_bs_g_6190484011_d_sccl_32/142-3510744-9003908?psc=1
#33,Crowned By The King-Sized Alpha,Olivia T. Turner,4.5,298,3.99,https://www.amazon.com/Crowned-King-Sized-Alpha-Olivia-Turner-ebook/dp/B0G3YLHSHZ/ref=zg_bs_g_6190484011_d_sccl_33/142-3510744-9003908?psc=1
#34,The Primal of Blood and Bone,Jennifer L. Armentrout,4,11407,8.99,https://www.amazon.com/Primal-Blood-Bone-Ash-Novel-ebook/dp/B0DLHZ6GXJ/ref=zg_bs_g_6190484011_d_sccl_34/142-3510744-9003908?psc=1
#35,Shift of the Wild,S.E. Babin,4.8,329,4.99,https://www.amazon.com/Shift-Wild-Shifter-Lords-Book-ebook/dp/B0FPJYMSJL/ref=zg_bs_g_6190484011_d_sccl_35/142-3510744-9003908?psc=1
#36,From Blood and Ash,Jennifer L. Armentrout,4.6,80385,8.99,https://www.amazon.com/Blood-Ash-Jennifer-L-Armentrout-ebook/dp/B086JMSSVH/ref=zg_bs_g_6190484011_d_sccl_36/142-3510744-9003908?psc=1
